date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:50:39	39570/39570	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202017%2014:18:50%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/srv4.png	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/srv4.png	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:40	2183/2183	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202017%2014:18:04%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/counter-ic1.png	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/counter-ic1.png	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:40	1823/1823	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202017%2014:18:06%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/counter-ic2.png	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/counter-ic2.png	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:40	1654/1654	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202017%2014:18:06%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/counter-ic3.png	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/counter-ic3.png	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:40	1869/1869	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202017%2014:18:06%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/counter-ic4.png	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/counter-ic4.png	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:41	196569/196569	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202017%2014:18:28%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/menu-card1.png	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/menu-card1.png	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:41	29032/29032	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202017%2014:18:26%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/menu-card2.png	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/menu-card2.png	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:41	5094/5094	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Jan%202017%2014:18:30%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/menu1.jpg	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/menu1.jpg	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:41	6213/6213	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Jan%202017%2014:18:30%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/menu2.jpg	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/menu2.jpg	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:42	5581/5581	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Jan%202017%2014:18:32%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/menu3.jpg	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/menu3.jpg	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:42	5404/5404	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Jan%202017%2014:18:32%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/menu4.jpg	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/menu4.jpg	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:42	5090/5090	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Jan%202017%2014:18:32%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/menu5.jpg	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/menu5.jpg	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:42	4318/4318	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Jan%202017%2014:18:32%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/menu6.jpg	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/menu6.jpg	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:42	4357/4357	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Jan%202017%2014:18:32%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/menu7.jpg	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/menu7.jpg	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:43	4357/4357	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Jan%202017%2014:18:32%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/menu8.jpg	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/menu8.jpg	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:43	5885/5885	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Jan%202017%2014:18:34%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/menu9.jpg	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/menu9.jpg	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:43	3601/3601	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Jan%202017%2014:18:30%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/menu10.jpg	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/menu10.jpg	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:44	86945/86945	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Jan%202017%2014:18:08%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/event1.jpg	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/event1.jpg	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:44	90419/90419	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Jan%202017%2014:18:08%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/event2.jpg	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/event2.jpg	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:44	1248/1248	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202017%2014:18:36%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/quote.png	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/quote.png	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
